                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0315,                 5.1396,                 4.0718,                  6e-05,                0.13782,                0.00012,                  4e-05,                 2.5882,                 6.6367,                 3.6599,             0.00010983,             0.00010983,             0.00010983
                      2,                 2.6478,                 4.4443,                 3.5025,                0.00145,                0.07949,                0.00214,                0.00086,                 2.7498,                 4.7241,                 4.2506,             0.00021865,             0.00021865,             0.00021865
                      3,                 2.2319,                 3.9715,                 2.9808,                0.28249,                0.16938,                0.06128,                0.02773,                 1.8445,                 3.6326,                  2.754,             0.00032526,             0.00032526,             0.00032526
                      4,                 1.9749,                 3.7961,                 2.6802,                0.26352,                0.30214,                0.14496,                0.08498,                 1.6262,                 3.0347,                 2.4301,             0.00032311,             0.00032311,             0.00032311
                      5,                  1.791,                 3.5791,                 2.4717,                0.17566,                 0.3904,                0.15851,                0.08444,                 1.5265,                   3.17,                 2.2745,             0.00032311,             0.00032311,             0.00032311
                      6,                 1.6287,                 3.4073,                 2.2932,                0.48195,                0.22131,                0.16599,                0.10438,                 1.4112,                 2.7645,                 2.0952,             0.00031981,             0.00031981,             0.00031981
                      7,                 1.5314,                 3.2542,                 2.1924,                0.22966,                0.30414,                0.21231,                0.14605,                 1.1888,                 2.6891,                 1.9365,             0.00031652,             0.00031652,             0.00031652
                      8,                 1.4315,                 3.1248,                 2.0764,                0.21782,                0.37593,                0.18208,                0.11998,                 1.2522,                 2.6541,                  1.883,             0.00031322,             0.00031322,             0.00031322
                      9,                 1.3463,                 2.9724,                 2.0089,                0.21749,                0.46165,                0.29983,                0.19382,                 1.2069,                 2.5478,                 1.8377,             0.00030992,             0.00030992,             0.00030992
                     10,                 1.3367,                 2.9036,                 1.9595,                0.25974,                0.51305,                0.30764,                0.21925,                 1.1151,                  2.393,                 1.8046,             0.00030663,             0.00030663,             0.00030663
                     11,                 1.2902,                  2.815,                 1.9171,                0.29959,                0.48328,                0.34608,                0.20709,                 1.4754,                 2.4207,                 2.0313,             0.00030333,             0.00030333,             0.00030333
